code,english_name,bangla_name,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
06_0008,Jackfruit seeds ,কাঁঠালের বিচি,0.94,151,639,60.1,5.6,0.4,30.4,1.5,2,,,,,,,,,,,,,,,,,,,,"80,81,82"
06_0009,Linseed ,তিসি,1,500,2060,6.5,17.2,39.1,6.1,27.3,3.7,255,5.7,392,642,813,30,4.34,1.22,0,0,0,0,10.35,1.64,0.16,7.7,0.473,87,0,"80,81,82"
06_0010,Lotus seeds dried,শুকনা পদ্ম গোটা,1,339,1440,12.7,16.3,2.2,61.6,4.1,3.2,147,5.6,210,626,1370,5,1.05,0.35,,,,,,,,,,,,"80,81,82"
06_0011,Lotus seeds green,পদ্ম গোটা কাঁচা,0.53,74,312,80.8,4.1,0.6,12.5,0.9,1.1,47,1,56,168,367,1,0.28,0.09,,,,,,,,,,,,"80,81,82"
06_0012,Mustard seeds dried,সরিষা,1,501,2080,8.5,22,35,18.5,11.8,4.2,257,8.9,357,800,713,13,5.87,0.62,1,0,17,0,5.07,0.65,0.26,8.2,0.383,156,0,"80,81,82"
06_0013,Pistachio nuts dried,পেস্তা বাদাম,0.52,574,2380,4.5,19.2,44.9,18.2,10.3,2.9,117,5.3,121,490,1020,1,2.2,1.3,16,0,195,0,2.3,0.8,0.2,5.8,1.7,51,5.3,"80,81,82"
06_0014,Pumpkin seeds dried,মিষ্টিকুমড়ার বিচি,0.81,580,2400,6.3,25.1,47.3,10.6,6,4.7,45,8.1,431,1042,815,13,7.21,1.46,1,0,10,0,2.18,0.27,0.21,10.4,0.143,58,1.5,"80,81,82"
06_0015,Sesame seeds whole dried,তিল,1,563,2330,5.3,17.7,45.8,14.3,11.7,5.2,969,10.5,349,625,465,11,7.7,4.06,0,0,5,0,2,0.79,0.34,12.2,0.78,97,0,"80,81,82"
06_0016,Walnuts,আখরোট,0.45,684,2820,4.5,15.2,64.5,7.3,6.7,1.8,100,4.8,158,346,441,2,3.09,1.59,1,0,12,0,3.61,0.45,0.15,4,0.537,98,1.3,"80,81,82"
07_0001,Bay leaf dried,তেজপাতা,1,353,1480,5.4,7.6,8.4,48.7,26.3,3.6,834,43,120,113,529,23,3.7,0.42,,,,,,,,,,,,"87,88"
07_0002,Cardamom,এলাচ,1,261,1090,20,10.2,2.2,37.8,24.4,5.4,130,4.6,173,160,976,16,2.81,0.47,,,,,,,,,,,,"87,88"
07_0003,Chilli red dry,শুকনা মরিচ,0.94,313,1310,10,15.9,6.2,35.2,26.6,6.1,160,2.3,152,293,2010,30,2.48,0.37,,,,,,,,,,,,"87,88"
